date,fund_id,universe,method,periods_per_year,gross_return,turnover,trading_cost,net_return,growth_gross,growth_net,drawdown_gross,drawdown_net,is_rebalance
2022-02-23,combined_min_variance,combined,minimum_variance,252,-0.001148311693282577,0,0,-0.001148311693282577,1.079546638253699,1.078100788562399,-0.04436904583908241,-0.04439543020298864,False
2022-02-23,combined_risk_parity,combined,risk_parity,252,-0.0109575759843693,0,0,-0.0109575759843693,1.260090139063071,1.258233085389938,-0.08916256121315846,-0.08925576369497401,False
2022-02-23,crypto_equal_weight,crypto,equal_weight,365,-0.02100949007395614,0,0,-0.02100949007395614,2.637927549813164,2.632649887052263,-0.6433247866458485,-0.6434979467207416,False
2022-02-23,crypto_max_sharpe,crypto,max_sharpe,365,-0.02220690385005492,0,0,-0.02220690385005492,2.999907424442532,2.994036834475013,-0.500749931191858,-0.5007960118070383,False
2022-02-23,crypto_min_variance,crypto,minimum_variance,365,-0.02321499645155575,0,0,-0.02321499645155575,2.833594808213348,2.826957792305113,-0.4818327830723861,-0.4818857126104547,False
2022-02-23,crypto_risk_parity,crypto,risk_parity,365,-0.02100949007395614,0,0,-0.02100949007395614,2.475053829572208,2.470070372483455,-0.6425158377859301,-0.6426836274247388,False
2022-02-23,equity_equal_weight,equity,equal_weight,252,-0.01131046900243369,0,0,-0.01131046900243369,1.210886892974773,1.209242597186044,-0.06399087299614903,-0.06399087299614925,False
2022-02-23,equity_max_sharpe,equity,max_sharpe,252,-0.003907499340774108,0,0,-0.003907499340774108,1.076140383596052,1.073457043887128,-0.08294052787467454,-0.08314577929722899,False
2022-02-23,equity_min_variance,equity,minimum_variance,252,0.001181291965874506,0,0,0.001181291965874506,1.091688413335907,1.090243881850228,-0.04329584652181406,-0.04332780196929287,False
2022-02-23,equity_risk_parity,equity,risk_parity,252,-0.009962291673923786,0,0,-0.009962291673923786,1.162675654230054,1.161130997068828,-0.06645053266765732,-0.06648181514514884,False
2022-02-23,equity_risk_parity_sentiment,equity,risk_parity_sentiment,252,-0.009778380444202511,0,0,-0.009778380444202511,1.157508401362381,1.155742826208171,-0.06638981387840925,-0.06643907243490921,False
2022-02-24,combined_equal_weight,combined,equal_weight,252,0.005356351428550892,0,0,0.005356351428550892,1.328597112963839,1.326501170220071,-0.1280594590216299,-0.1281725093900765,False
2022-02-24,combined_max_sharpe,combined,max_sharpe,252,0.005952229178886466,0,0,0.005952229178886466,1.180291915862046,1.177136415402576,-0.127129713406941,-0.1279983852112839,False
2022-02-24,combined_min_variance,combined,minimum_variance,252,-0.003912656902264985,0,0,-0.003912656902264985,1.075322742648219,1.073882550070693,-0.04810810188789827,-0.04813438301884088,False
2022-02-24,combined_risk_parity,combined,risk_parity,252,0.004879440280949446,0,0,0.004879440280949446,1.266238673645243,1.264372558589613,-0.08471818432494505,-0.08481184158270461,False
2022-02-24,crypto_equal_weight,crypto,equal_weight,365,0.00236210102814702,0,0,0.00236210102814702,2.644158601190755,2.63886847205722,-0.6424822837576701,-0.6426558528541542,False
2022-02-24,crypto_max_sharpe,crypto,max_sharpe,365,0.00655779536080389,0,0,0.00655779536080389,3.019580203433382,3.013671115338209,-0.4974759514067469,-0.4975223342091717,False
2022-02-24,crypto_min_variance,crypto,minimum_variance,365,0.008308501300157339,0,0,0.008308501300157339,2.857137734361507,2.85044557479797,-0.4775275900768441,-0.4775809593800485,False
2022-02-24,crypto_risk_parity,crypto,risk_parity,365,0.00236210102814702,0,0,0.00236210102814702,2.480900156767759,2.475904928249894,-0.6416714240788179,-0.641839610053705,False
2022-02-24,equity_equal_weight,equity,equal_weight,252,0.006113009538671765,0,0,0.006113009538671765,1.218289056101781,1.21663470871721,-0.05826904027449065,-0.05826904027449098,False
2022-02-24,equity_max_sharpe,equity,max_sharpe,252,0.007001872488712933,0,0,0.007001872488712933,1.083675381341946,1.080973253230536,-0.07651939438628674,-0.07672608295312999,False
2022-02-24,equity_min_variance,equity,minimum_variance,252,-0.006620035983058607,0,0,-0.006620035983058607,1.084461396757335,1.08302642812207,-0.04962926244298138,-0.04966100634424786,False
2022-02-24,equity_risk_parity,equity,risk_parity,252,0.005310172424974707,0,0,0.005310172424974707,1.168849662428336,1.167296802871246,-0.06149322402887936,-0.06152467262172012,False
2022-02-24,equity_risk_parity_sentiment,equity,risk_parity_sentiment,252,0.005378113555426139,0,0,0.005378113555426139,1.163733612986268,1.161958542368387,-0.06136875228094496,-0.06141827575555536,False
2022-02-25,combined_equal_weight,combined,equal_weight,252,0.02869708277513207,0,0,0.02869708277513207,1.366723974289364,1.364567884103186,-0.1030373091421801,-0.1031536037264078,False
2022-02-25,combined_max_sharpe,combined,max_sharpe,252,0.02464453579964189,0,0,0.02464453579964189,1.209379662236536,1.206146395933027,-0.1056182303805547,-0.1065083101982779,False
2022-02-25,combined_min_variance,combined,minimum_variance,252,0.02391265233553896,0,0,0.02391265233553896,1.101036561541664,1.099561930139735,-0.02534584186732736,-0.02537275144981721,False
2022-02-25,combined_risk_parity,combined,risk_parity,252,0.02647549176751805,0,0,0.02647549176751805,1.29976296522505,1.297847443855628,-0.06048564814908119,-0.06058178502879741,False
2022-02-25,crypto_equal_weight,crypto,equal_weight,365,0.04292477140997579,0,0,0.04292477140997579,2.75765850471859,2.752141298001269,-0.6271359175129515,-0.627316937023226,False
2022-02-25,crypto_max_sharpe,crypto,max_sharpe,365,0.0459309479483777,0,0,0.0459309479483777,3.158272384583232,3.152091886470337,-0.4743945454880023,-0.4744430586965109,False
2022-02-25,crypto_min_variance,crypto,minimum_variance,365,0.03459736421450744,0,0,0.03459736421450744,2.955987169168225,2.949063478522886,-0.4594514218187011,-0.4595066375591265,False
