decision_date,effective_date,fund_id,universe,method,eligible_asset_count,complete_history_rows,asset_cap,solver,solver_success,fallback_used,fallback_source,status,solver_status_code,solver_message,objective_value,weight_sum,minimum_weight,maximum_weight
2020-11-30,2020-12-01,crypto_max_sharpe,crypto,max_sharpe,0,335,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-11-30,2020-12-01,crypto_min_variance,crypto,minimum_variance,0,335,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-11-30,2020-12-01,crypto_risk_parity,crypto,risk_parity,0,335,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-11-30,2020-12-01,equity_equal_weight,equity,equal_weight,0,231,,direct,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-11-30,2020-12-01,equity_max_sharpe,equity,max_sharpe,0,231,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-11-30,2020-12-01,equity_min_variance,equity,minimum_variance,0,231,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-11-30,2020-12-01,equity_risk_parity,equity,risk_parity,0,231,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-12-31,2021-01-04,combined_equal_weight,combined,equal_weight,60,252,0.08333333333333333,direct,True,False,none,ok,0,direct capped equal weight,,0.9999999999999432,0.01666666666666572,0.01666666666666572
2020-12-31,2021-01-04,combined_max_sharpe,combined,max_sharpe,60,252,0.08333333333333333,SLSQP,True,False,none,ok,0,Optimization terminated successfully,-0.1203083523149566,1,0,0.08333333333333333
2020-12-31,2021-01-04,combined_min_variance,combined,minimum_variance,60,252,0.08333333333333333,SLSQP,True,False,none,ok,0,Optimization terminated successfully,0.0002296176855200418,0.9999999999999999,0,0.08333333333333333
2020-12-31,2021-01-04,combined_risk_parity,combined,risk_parity,60,252,0.08333333333333333,SLSQP,True,False,none,ok,0,Optimization terminated successfully,1.69347318923555e-13,1.000000000000011,0.009038148028578857,0.0346931520440402
2020-12-31,2021-01-01,crypto_equal_weight,crypto,equal_weight,10,365,0.35,direct,True,False,none,ok,0,direct capped equal weight,,0.9999999999999716,0.09999999999999715,0.09999999999999715
2020-12-31,2021-01-01,crypto_max_sharpe,crypto,max_sharpe,10,365,0.35,SLSQP,True,False,none,ok,0,Optimization terminated successfully,-0.1100376514728887,1,0,0.35
2020-12-31,2021-01-01,crypto_min_variance,crypto,minimum_variance,10,365,0.35,SLSQP,True,False,none,ok,0,Optimization terminated successfully,0.001599327703294089,1,0,0.35
2020-12-31,2021-01-01,crypto_risk_parity,crypto,risk_parity,10,365,0.35,SLSQP,True,False,none,ok,0,Optimization terminated successfully,4.645707777762479e-11,1.000000000000008,0.09050179680745547,0.139890252728479
2020-12-31,2021-01-04,equity_equal_weight,equity,equal_weight,50,252,0.1,direct,True,False,none,ok,0,direct capped equal weight,,0.9999999999999433,0.01999999999999886,0.01999999999999886
2020-12-31,2021-01-04,equity_max_sharpe,equity,max_sharpe,50,252,0.1,SLSQP,True,False,none,ok,0,Optimization terminated successfully,-0.07782714428247622,1,0,0.1
2020-12-31,2021-01-04,equity_min_variance,equity,minimum_variance,50,252,0.1,SLSQP,True,False,none,ok,0,Optimization terminated successfully,0.0002227195978996827,1,0,0.1
